theta,alpha,beta,gamma,subject,recording,dominant_wave
4.286630767421373e-11,4.299846814406723e-11,7.770259683590746e-12,2.467085334648223e-13,eegmmidb,Subject00_1,alpha
3.779691155033735e-11,4.794920050771549e-11,8.793946641820292e-12,3.099074428454683e-13,eegmmidb,Subject00_2,alpha
2.1497848401194797e-11,1.3563763008318329e-11,3.2733987260950472e-12,5.859898928337519e-13,eegmmidb,Subject01_1,theta
1.4812850967340482e-11,1.0000538704609248e-11,2.861993569895449e-12,7.899694785433774e-13,eegmmidb,Subject01_2,theta
3.308775806099361e-12,7.145096704444728e-12,1.3679499988912913e-12,3.763901028275272e-13,eegmmidb,Subject02_1,alpha
1.842307335012565e-11,1.3185880331612166e-11,8.151054919773296e-12,1.3539819872002569e-12,eegmmidb,Subject02_2,theta
1.5625946064560834e-11,1.944878223018266e-11,3.243971138380938e-12,3.530499717180888e-13,eegmmidb,Subject03_1,alpha
1.4076875071131723e-11,1.3019130150140554e-11,3.197305272571045e-12,4.324942270189897e-13,eegmmidb,Subject03_2,theta
1.6432369794948973e-11,1.765302893001862e-11,4.905259203264442e-12,5.464943783804524e-13,eegmmidb,Subject04_1,alpha
1.630170897262345e-11,1.4744688379528147e-11,5.0356883019205455e-12,2.8936357858437134e-13,eegmmidb,Subject04_2,theta
4.625948111136637e-11,4.1062238595952965e-11,1.6806590825620366e-11,9.970859563683537e-13,eegmmidb,Subject05_1,theta
3.684829844058656e-11,4.079761568070171e-11,1.694281083431701e-11,1.0103837141208924e-12,eegmmidb,Subject05_2,alpha
1.7102008297549882e-11,1.066560677336441e-11,5.086982214545944e-12,2.625353170538056e-13,eegmmidb,Subject06_1,theta
1.2101888692607023e-11,7.606946502000737e-12,4.106247015899132e-12,3.0012458024133645e-13,eegmmidb,Subject06_2,theta
1.1169983946304793e-11,1.2315522840494202e-11,3.056047133895985e-12,9.40828952103413e-13,eegmmidb,Subject07_1,alpha
7.911764716264425e-12,1.0038101730299575e-11,2.884471505624556e-12,1.003022440571979e-12,eegmmidb,Subject07_2,alpha
7.824815761153472e-11,5.478445944841865e-11,1.7250597960389042e-11,4.1622673133978996e-13,eegmmidb,Subject08_1,theta
1.0013190885522667e-10,5.4667124384238705e-11,1.886956925145929e-11,4.0673183820725853e-13,eegmmidb,Subject08_2,theta
4.3020640037125176e-11,4.2746282396108245e-11,2.2136380344729535e-11,1.4316834896231394e-12,eegmmidb,Subject09_1,theta
4.0384429231962936e-11,4.568978242047912e-11,2.3195128827151832e-11,1.4861148060458988e-12,eegmmidb,Subject09_2,alpha
3.6557202588513216e-11,1.9325692258326335e-11,9.884618015665616e-12,2.2600306273205397e-13,eegmmidb,Subject10_1,theta
3.7270441943279897e-11,2.4301680371040087e-11,1.1390318560305136e-11,2.411616827148011e-13,eegmmidb,Subject10_2,theta
5.0435096739928666e-11,2.6872892429492604e-11,1.3267253248803088e-11,1.3260142208297477e-12,eegmmidb,Subject11_1,theta
3.9652090152105394e-11,2.5400502057029046e-11,1.3050573882756572e-11,1.7032856935093377e-12,eegmmidb,Subject11_2,theta
4.7899897280034296e-11,2.408369676116293e-11,9.087739402227066e-12,5.89481035576326e-13,eegmmidb,Subject12_1,theta
3.9630079655135437e-11,3.2059252808491046e-11,9.19270279034522e-12,6.175116613964521e-13,eegmmidb,Subject12_2,theta
2.7661293012930627e-12,1.3157875559624756e-12,3.562481852947868e-13,1.2119363912900957e-13,eegmmidb,Subject13_1,theta
1.9795029874482388e-11,1.3358144499372255e-11,4.517262512065473e-12,3.8484320039397646e-13,eegmmidb,Subject13_2,theta
2.0774583614449656e-11,1.3746780403773099e-11,6.747447475714079e-12,5.561119149003826e-13,eegmmidb,Subject14_1,theta
2.0917803134606644e-11,1.470045577902388e-11,9.16383809299948e-12,6.512907351339174e-13,eegmmidb,Subject14_2,theta
2.2617053052561344e-11,3.439061388221748e-11,8.535142727160023e-12,3.2386902443071173e-13,eegmmidb,Subject15_1,alpha
2.1139063696318432e-11,2.464767876678062e-11,8.473697892400359e-12,3.601626155842597e-13,eegmmidb,Subject15_2,alpha
3.4846537481853036e-11,1.9698288802039228e-11,3.4631523510513094e-12,1.0112169721414648e-13,eegmmidb,Subject16_1,theta
2.6658008242429757e-11,2.028205296887965e-11,3.606632576201453e-12,2.1039785959601822e-13,eegmmidb,Subject16_2,theta
1.8038798743495904e-11,1.2316984237417379e-11,2.3078043645904757e-12,2.9181389001023625e-13,eegmmidb,Subject17_1,theta
2.427289907374284e-11,1.4376947651226155e-11,2.9445479108864974e-12,3.5011170320256826e-13,eegmmidb,Subject17_2,theta
8.918223309184888e-11,5.2519408282667465e-11,1.1486266129741984e-11,4.125918242539985e-13,eegmmidb,Subject18_1,theta
7.547823291815993e-11,5.275695257903059e-11,1.3290087417151243e-11,4.2852561473030823e-13,eegmmidb,Subject18_2,theta
1.851043040130712e-11,2.095895859336976e-11,5.904122237319762e-12,5.353435669725409e-13,eegmmidb,Subject19_1,alpha
2.2663670436924572e-11,1.4805859497261738e-11,7.811677237882748e-12,8.502134469490555e-13,eegmmidb,Subject19_2,theta
1.4781645915681648e-11,2.0804042820124276e-11,8.292634002661e-12,8.688631311778495e-13,eegmmidb,Subject20_1,alpha
